BPTI000013,Pakistan 100% Cotton T-Shirt,550,1399,1999,Shop Pakistan 100% Cotton T-Shirt | Bargain.pk,pakistan-100%-cotton-t-shirt,Pakistan,pti,143
BPTI000014,Vote Imran Khan for Change Printed  T-Shirt,400,1099,1799,Shop Vote Imran Khan for Change Printed  T-Shirt | Bargain.pk,vote-imran-khan-for-change-printed--t-shirt,Vote Imran Khan For Change,pti,143
BPTI000015,Certified Honest Cotton  T-Shirt,400,1099,1799,Shop Certified Honest Cotton  T-Shirt | Bargain.pk,certified-honest-cotton--t-shirt,Certified Honest,pti,143
BPTI000016,Hope Pakistan Tehreek e Insaaf  T-Shirt,400,1099,1799,Shop Hope Pakistan Tehreek e Insaaf  T-Shirt | Bargain.pk,hope-pakistan-tehreek-e-insaaf--t-shirt,Hope Pakistan Tehreek e Insaaf,pti,143
BPTI000017,Imran Khan Comfortable  T-Shirt,400,1099,1799,Shop Imran Khan Comfortable  T-Shirt | Bargain.pk,imran-khan-comfortable--t-shirt,Imran Khan,pti,143
BPTI000018,One Nation One Leader Imran Khan  T-Shirt,400,1099,1799,Shop One Nation One Leader Imran Khan  T-Shirt | Bargain.pk,one-nation-one-leader-imran-khan--t-shirt,One Nation One Leader Imran Khan,pti,143
BPTI000019,Save Pakistan Vote Imran Khan Cotton  T-Shirt,400,1099,1799,Shop Save Pakistan Vote Imran Khan Cotton  T-Shirt | Bargain.pk,save-pakistan-vote-imran-khan-cotton--t-shirt,Save Pakistan Vote Imran Khan,pti,143
BPTI000020,Support Pakistan Tehreek e Insaaf Printed  T-Shirt,400,1099,1799,Shop Support Pakistan Tehreek e Insaaf Printed  T-Shirt | Bargain.pk,support-pakistan-tehreek-e-insaaf-printed--t-shirt,Support Pakistan Tehreek e Insaaf,pti,143
BPTI000021,Justice Humanity Self Esteem  T-Shirt,400,1099,1799,Shop Justice Humanity Self Esteem  T-Shirt | Bargain.pk,justice-humanity-self-esteem--t-shirt,Justice Humanity Self Esteem,pti,143
